Code,Title,Season,Episode,Rating,smoothedRating,Episode Number,Number of Episodes,Prop Through Series,main_character_left
tt0042116,The Jack Benny Program,8.0,13.0,6.6,7.4523632352201155,75.0,224,0.33482142857142855,0
tt0042116,The Jack Benny Program,9.0,1.0,7.6,7.299965689583481,79.0,224,0.35267857142857145,0
tt0042116,The Jack Benny Program,9.0,6.0,8.2,7.374862776998425,84.0,224,0.375,0
tt0042116,The Jack Benny Program,9.0,10.0,7.7,7.497105906492052,88.0,224,0.39285714285714285,0
tt0042116,The Jack Benny Program,9.0,15.0,7.5,7.536762887771555,92.0,224,0.4107142857142857,0
tt0042116,The Jack Benny Program,10.0,5.0,7.9,7.5873789193630365,97.0,224,0.4330357142857143,0
tt0042116,The Jack Benny Program,10.0,9.0,6.0,7.502161288618315,101.0,224,0.45089285714285715,0
tt0042116,The Jack Benny Program,10.0,13.0,6.4,7.198715256444043,105.0,224,0.46875,0
tt0042116,The Jack Benny Program,11.0,3.0,7.5,7.297280567542783,110.0,224,0.49107142857142855,0
tt0042116,The Jack Benny Program,11.0,7.0,8.5,7.598038711687746,114.0,224,0.5089285714285714,0
tt0042116,The Jack Benny Program,11.0,12.0,7.9,7.693051668321897,119.0,224,0.53125,0
tt0042116,The Jack Benny Program,11.0,16.0,7.5,7.653898722346751,123.0,224,0.5491071428571429,0
tt0042116,The Jack Benny Program,11.0,20.0,7.7,7.596752683890615,127.0,224,0.5669642857142857,0
tt0042116,The Jack Benny Program,11.0,26.0,7.0,7.523459964123673,132.0,224,0.5892857142857143,0
tt0042116,The Jack Benny Program,12.0,6.0,6.9,7.427776756340091,136.0,224,0.6071428571428571,0
tt0042116,The Jack Benny Program,12.0,10.0,7.4,7.3496347841704175,140.0,224,0.625,0
tt0042116,The Jack Benny Program,12.0,15.0,7.4,7.37833645503131,145.0,224,0.6473214285714286,0
tt0042116,The Jack Benny Program,12.0,19.0,8.0,7.349372875171691,149.0,224,0.6651785714285714,0
tt0042116,The Jack Benny Program,12.0,25.0,7.5,7.424511993241123,154.0,224,0.6875,0
tt0042116,The Jack Benny Program,13.0,5.0,7.9,7.600216999052693,158.0,224,0.7053571428571429,0
tt0042116,The Jack Benny Program,13.0,9.0,8.0,7.692005903615178,162.0,224,0.7232142857142857,0
tt0042116,The Jack Benny Program,13.0,15.0,7.5,7.642454421294329,167.0,224,0.7455357142857143,0
tt0042116,The Jack Benny Program,13.0,19.0,7.0,7.5267345904753205,171.0,224,0.7633928571428571,0
tt0042116,The Jack Benny Program,13.0,23.0,7.9,7.558630481261456,175.0,224,0.78125,0
tt0042116,The Jack Benny Program,14.0,3.0,7.2,7.7733944575380365,180.0,224,0.8035714285714286,0
tt0042116,The Jack Benny Program,14.0,7.0,7.1,7.7252741807802625,184.0,224,0.8214285714285714,0
tt0042116,The Jack Benny Program,14.0,14.0,8.2,7.845645721791358,189.0,224,0.84375,0
tt0042116,The Jack Benny Program,14.0,18.0,7.4,7.933336149645587,193.0,224,0.8616071428571429,0
tt0042116,The Jack Benny Program,14.0,24.0,8.2,7.8308610045016716,197.0,224,0.8794642857142857,0
tt0042116,The Jack Benny Program,15.0,1.0,5.8,7.749387459514369,202.0,224,0.9017857142857143,0
tt0042116,The Jack Benny Program,15.0,5.0,8.1,7.478144400247438,206.0,224,0.9196428571428571,0
tt0042116,The Jack Benny Program,15.0,9.0,7.4,7.234721469324001,210.0,224,0.9375,0
tt0042116,The Jack Benny Program,15.0,16.0,7.5,7.226203093598043,215.0,224,0.9598214285714286,0
tt0042116,The Jack Benny Program,15.0,21.0,6.2,7.266736319682809,219.0,224,0.9776785714285714,0
tt0043175,The Amos 'n Andy Show,1.0,2.0,8.6,8.509316909890995,2.0,74,0.02702702702702703,0
tt0043175,The Amos 'n Andy Show,1.0,3.0,8.2,8.43228519123806,3.0,74,0.04054054054054054,0
tt0043175,The Amos 'n Andy Show,1.0,5.0,8.1,8.180786275805746,5.0,74,0.06756756756756757,0
tt0043175,The Amos 'n Andy Show,1.0,6.0,7.9,8.105834279421234,6.0,74,0.08108108108108109,0
tt0043175,The Amos 'n Andy Show,1.0,8.0,8.3,8.3,8.0,74,0.10810810810810811,0
tt0043175,The Amos 'n Andy Show,1.0,9.0,8.2,8.376608589009297,9.0,74,0.12162162162162163,0
tt0043175,The Amos 'n Andy Show,1.0,11.0,8.8,8.563255418330746,11.0,74,0.14864864864864866,0
tt0043175,The Amos 'n Andy Show,1.0,12.0,8.1,8.30063982395098,12.0,74,0.16216216216216217,0
tt0043175,The Amos 'n Andy Show,1.0,13.0,8.1,7.962521104798249,13.0,74,0.17567567567567569,0
