county_number,county,order_year,order_month,order_amount,order_revenue,number_of_orders
2,adams,2018,5,435.39,6686.37,125
2,adams,2018,6,470.8,6242.23,178
2,adams,2018,7,304.28,4390.19,114
2,adams,2018,8,445.69,6220.28,143
2,adams,2018,9,384.87,5793.89,125
2,adams,2018,10,233.25,3379.96,68
2,adams,2018,11,473.75,6213.48,103
2,adams,2018,12,82.11,1050.27,21
2,adams,2019,2,241.79,5047.48,47
2,adams,2019,5,203.98,3264.91,60
2,adams,2019,7,232.79,2863.18,47
2,adams,2019,8,1313.74,21317.97,311
2,adams,2019,9,784.69,11139.58,178
2,adams,2019,10,1124.91,17822.77,228
2,adams,2019,11,1298.24,21895.8,256
2,adams,2019,12,542.74,8707.74,96
2,adams,2020,5,1374.74,19901.21,283
2,adams,2020,6,1367.87,19943.38,254
2,adams,2020,7,373.65,5710.02,52
2,adams,2020,11,1088.54,15343.33,191
3,allamakee,2012,1,4144.72,47367.89,676
3,allamakee,2012,2,5661.91,61541.6,669
3,allamakee,2012,3,4643.65,58817.55,674
3,allamakee,2012,4,5625.45,65427.9,819
3,allamakee,2012,5,5326.25,61553.33,789
3,allamakee,2012,6,4899.12,57307.95,827
3,allamakee,2012,7,6714.06,80433.47,1078
3,allamakee,2012,8,6462.07,81145.41,1026
3,allamakee,2012,9,3338.2,41177.68,574
3,allamakee,2012,10,8243.64,95647.25,892
3,allamakee,2012,11,4391.87,54588.92,706
3,allamakee,2012,12,6128.23,78687.62,956
3,allamakee,2013,1,3903.29,45543.5,672
3,allamakee,2013,2,4523.05,53336.13,636
3,allamakee,2013,3,4439.46,53039.6,598
3,allamakee,2013,4,5638.22,70764.7,829
3,allamakee,2013,5,6401,70213.15,790
3,allamakee,2013,6,5232.29,59604.51,794
3,allamakee,2013,7,7327.21,92909.77,1105
3,allamakee,2013,8,4658.47,57909.63,796
3,allamakee,2013,9,4295.72,52172.17,729
3,allamakee,2013,10,9903.19,116173.31,1029
3,allamakee,2013,11,4204.1,53126.6,690
3,allamakee,2013,12,6424.43,85089.44,1035
3,allamakee,2014,1,3922.31,47286.49,574
3,allamakee,2014,2,4722.2,57232.05,609
3,allamakee,2014,3,4385.55,53041.43,593
3,allamakee,2014,4,5082.22,60027.22,795
3,allamakee,2014,5,4703.56,55213.72,692
3,allamakee,2014,6,6920.14,85225.89,783
3,allamakee,2014,7,6494.48,78765.06,708
3,allamakee,2014,8,5471.59,70144.58,657
3,allamakee,2014,9,4381.21,55873.41,512
3,allamakee,2014,10,7298.83,82907.13,664
3,allamakee,2014,11,5059.62,63920.61,642
3,allamakee,2014,12,6320.67,84798.74,792
3,allamakee,2015,1,3793.12,46675.93,480
3,allamakee,2015,2,4557.13,53786.16,549
3,allamakee,2015,3,4446.18,55526.87,555
3,allamakee,2015,4,5585.77,70487.74,755
3,allamakee,2015,5,7032.76,82404.2,702
3,allamakee,2015,6,6544.99,84282.3,892
3,allamakee,2015,7,5235.87,65078.68,724
3,allamakee,2015,8,5822.36,72578.21,790
3,allamakee,2015,9,6007.81,74636.44,816
3,allamakee,2015,10,5263.08,63441.11,617
3,allamakee,2015,11,4916.05,62971.69,706
3,allamakee,2015,12,6841.52,89790.97,1034
3,allamakee,2016,1,3965.07,48475.58,626
3,allamakee,2016,2,5109.74,57804.08,605
3,allamakee,2016,3,5854.34,73837.64,846
3,allamakee,2016,4,4237.46,53190.35,663
3,allamakee,2016,5,6208.86,76050.69,795
3,allamakee,2016,6,6582.72,83219.74,1078
3,allamakee,2016,7,6474.58,82251.59,936
3,allamakee,2016,8,5807.71,73118.57,861
3,allamakee,2016,9,6570.82,81477.3,912
3,allamakee,2016,10,5264.4,65287.06,744
3,allamakee,2016,11,6106.46,79304.91,867
3,allamakee,2016,12,7691.19,100765.83,1096
3,allamakee,2017,1,4463.55,53881.06,677
3,allamakee,2017,2,4401.84,51107.35,598
3,allamakee,2017,3,5970.88,77776.72,821
3,allamakee,2017,4,5669.88,70675.29,718
3,allamakee,2017,5,7159.87,84943.7,762
3,allamakee,2017,6,7286.01,91495.86,983
3,allamakee,2017,7,7972.53,104568.42,864
3,allamakee,2017,8,5110.17,64702.53,741
3,allamakee,2017,9,6837.88,83755.47,779
3,allamakee,2017,10,5167.93,65408.17,717
3,allamakee,2017,11,4434.03,55812.81,562
3,allamakee,2017,12,7605.25,100156.47,994
3,allamakee,2018,1,3800.77,46561.92,553
3,allamakee,2018,2,4705.51,61182.79,644
3,allamakee,2018,3,5538.62,73087.91,806
3,allamakee,2018,4,4878.41,60583.46,714
3,allamakee,2018,5,7290.35,88927.92,743
3,allamakee,2018,6,7121.52,89381.14,993
3,allamakee,2018,7,4890.25,61952.61,744
3,allamakee,2018,8,7473.27,96506.66,991
3,allamakee,2018,9,4297.36,55074.53,688
3,allamakee,2018,10,6325.25,77484.73,744
3,allamakee,2018,11,6341.22,84564.44,940
3,allamakee,2018,12,6460.96,86178.76,894
3,allamakee,2019,1,4481.68,57993.35,685
3,allamakee,2019,2,4510.27,58994.38,688
3,allamakee,2019,3,5601.79,73624.97,792
3,allamakee,2019,4,4792.74,63195.87,671
3,allamakee,2019,5,7283.19,96588.6,936
3,allamakee,2019,6,5681.24,78979.19,833
3,allamakee,2019,7,5743.84,76183.72,831
3,allamakee,2019,8,7702.02,101817.9,1026
3,allamakee,2019,9,5780.26,72667.22,759
3,allamakee,2019,10,4933.48,66918.03,730
3,allamakee,2019,11,6885.22,93370.83,944
3,allamakee,2019,12,2992.91,43026.78,470
3,allamakee,2020,5,7795.25,100979.95,1055
3,allamakee,2020,6,6115.72,86662.05,901
3,allamakee,2020,7,5411.15,75086.99,394
3,allamakee,2020,11,5649.86,79649.06,682
4,appanoose,2012,1,3395.9,38976.62,620
4,appanoose,2012,2,4086.77,46892.89,785
4,appanoose,2012,3,3015.98,35708.46,605
4,appanoose,2012,4,3361.07,39596.8,630
4,appanoose,2012,5,5353.14,64009.49,892
4,appanoose,2012,6,4159.11,49499.04,736
4,appanoose,2012,7,3652.9,44955.92,720
4,appanoose,2012,8,7285.91,96057.63,1005
4,appanoose,2012,9,4691.2,76690.04,645
4,appanoose,2012,10,5894.55,78125.66,850
4,appanoose,2012,11,4103.01,51864.11,720
4,appanoose,2012,12,5209.81,64897.52,814
4,appanoose,2013,1,4734.42,55133.28,729
4,appanoose,2013,2,3663.65,44129.75,589
4,appanoose,2013,3,5197.13,70767.04,691
4,appanoose,2013,4,4046.8,50797.49,613
4,appanoose,2013,5,5680.04,73409,807
4,appanoose,2013,6,4866.66,63518.83,643
4,appanoose,2013,7,5602.43,69673.39,837
4,appanoose,2013,8,5188.42,83379.04,619
4,appanoose,2013,9,4235.41,61447.86,655
4,appanoose,2013,10,6274.7,75967.38,803
4,appanoose,2013,11,4401.44,60754.9,625
4,appanoose,2013,12,4957.59,71737.31,739
4,appanoose,2014,1,6082.76,71855.44,619
4,appanoose,2014,2,3308.55,42315.12,519
4,appanoose,2014,3,3155.19,40912.96,529
4,appanoose,2014,4,5532.83,75819.62,743
4,appanoose,2014,5,4064.57,53702.9,640
4,appanoose,2014,6,3940.4,50384.57,638
4,appanoose,2014,7,6276.86,79138.1,888
4,appanoose,2014,8,4687.47,61527.46,701
4,appanoose,2014,9,4896.7,64304.82,667
4,appanoose,2014,10,6181.76,75530.34,731
4,appanoose,2014,11,4062.9,54154.82,611
4,appanoose,2014,12,6466.17,100001.42,868
4,appanoose,2015,1,4799.5,53353.26,614
4,appanoose,2015,2,3951.24,51942.64,606
4,appanoose,2015,3,3563.54,46459.58,609
4,appanoose,2015,4,5124.54,70250.96,824
4,appanoose,2015,5,5797.47,70046.65,709
4,appanoose,2015,6,6203.28,85658.41,868
4,appanoose,2015,7,5425.02,71020.07,790
4,appanoose,2015,8,4381.7,57114.89,673
4,appanoose,2015,9,6715.11,97134.82,856
4,appanoose,2015,10,5288.29,90125.02,570
4,appanoose,2015,11,3657.98,51130.5,600
4,appanoose,2015,12,6611.59,91145.13,920
4,appanoose,2016,1,3941.41,50446.38,572
4,appanoose,2016,2,4414.44,54435.54,515
4,appanoose,2016,3,5369.54,72002.38,749
4,appanoose,2016,4,3853.1,49790.54,651
4,appanoose,2016,5,6494.65,91823.56,694
4,appanoose,2016,6,5973.67,79887.34,887
4,appanoose,2016,7,5294.87,69637.54,670
4,appanoose,2016,8,6218.6,84043.58,908
4,appanoose,2016,9,4536.2,68499.97,663
4,appanoose,2016,10,5874.32,80886.39,634
4,appanoose,2016,11,6445.43,98842.47,799
4,appanoose,2016,12,4926.5,73932.06,723
4,appanoose,2017,1,3734.31,49488.23,518
4,appanoose,2017,2,3936.96,53226.71,526
4,appanoose,2017,3,5482.06,79413.92,753
4,appanoose,2017,4,4394.99,61257.16,625
4,appanoose,2017,5,8184.97,125387.83,963
4,appanoose,2017,6,6043.3,85953.58,821
4,appanoose,2017,7,4975.38,64421.21,639
