Episode Number,Season,Episode,Rating,Code,Number of Episodes,Prop Through Series,Title,main_character_left
131,6,6,7.5,tt0092455,176,0.7443181818181818,Star Trek: The Next Generation,0
134,6,9,7.5,tt0092455,176,0.7613636363636364,Star Trek: The Next Generation,0
138,6,13,6.2,tt0092455,176,0.7840909090909091,Star Trek: The Next Generation,0
141,6,16,7.7,tt0092455,176,0.8011363636363636,Star Trek: The Next Generation,0
145,6,20,8.1,tt0092455,176,0.8238636363636364,Star Trek: The Next Generation,0
148,6,23,7.3,tt0092455,176,0.8409090909090909,Star Trek: The Next Generation,0
151,6,26,8.3,tt0092455,176,0.8579545454545454,Star Trek: The Next Generation,0
155,7,4,7.9,tt0092455,176,0.8806818181818182,Star Trek: The Next Generation,0
158,7,7,6.5,tt0092455,176,0.8977272727272727,Star Trek: The Next Generation,0
162,7,11,8.8,tt0092455,176,0.9204545454545454,Star Trek: The Next Generation,0
165,7,14,5.0,tt0092455,176,0.9375,Star Trek: The Next Generation,0
169,7,18,6.7,tt0092455,176,0.9602272727272727,Star Trek: The Next Generation,0
172,7,21,6.8,tt0092455,176,0.9772727272727273,Star Trek: The Next Generation,0
4,1,4,6.9,tt0094517,199,0.020100502512562814,Mystery Science Theater 3000,0
8,1,8,7.0,tt0094517,199,0.04020100502512563,Mystery Science Theater 3000,0
12,1,12,6.9,tt0094517,199,0.06030150753768844,Mystery Science Theater 3000,0
16,1,16,6.6,tt0094517,199,0.08040201005025126,Mystery Science Theater 3000,0
20,1,20,6.7,tt0094517,199,0.10050251256281408,Mystery Science Theater 3000,0
24,2,2,6.8,tt0094517,199,0.12060301507537688,Mystery Science Theater 3000,0
28,2,6,7.3,tt0094517,199,0.1407035175879397,Mystery Science Theater 3000,0
32,2,10,7.3,tt0094517,199,0.16080402010050251,Mystery Science Theater 3000,0
35,2,13,7.1,tt0094517,199,0.17587939698492464,Mystery Science Theater 3000,0
39,3,4,7.9,tt0094517,199,0.19597989949748743,Mystery Science Theater 3000,0
43,3,8,7.6,tt0094517,199,0.21608040201005024,Mystery Science Theater 3000,0
47,3,12,8.1,tt0094517,199,0.23618090452261306,Mystery Science Theater 3000,0
51,4,3,8.6,tt0094517,199,0.2562814070351759,Mystery Science Theater 3000,0
55,4,7,8.0,tt0094517,199,0.27638190954773867,Mystery Science Theater 3000,0
59,4,11,8.1,tt0094517,199,0.2964824120603015,Mystery Science Theater 3000,0
63,4,15,7.5,tt0094517,199,0.3165829145728643,Mystery Science Theater 3000,0
67,4,19,8.4,tt0094517,199,0.33668341708542715,Mystery Science Theater 3000,0
70,4,22,7.6,tt0094517,199,0.35175879396984927,Mystery Science Theater 3000,0
74,5,2,8.4,tt0094517,199,0.37185929648241206,Mystery Science Theater 3000,0
78,5,6,8.1,tt0094517,199,0.39195979899497485,Mystery Science Theater 3000,0
82,5,10,7.7,tt0094517,199,0.4120603015075377,Mystery Science Theater 3000,0
86,5,14,8.4,tt0094517,199,0.4321608040201005,Mystery Science Theater 3000,0
90,5,18,8.7,tt0094517,199,0.45226130653266333,Mystery Science Theater 3000,0
94,5,22,8.3,tt0094517,199,0.4723618090452261,Mystery Science Theater 3000,0
98,6,2,7.8,tt0094517,199,0.49246231155778897,Mystery Science Theater 3000,0
101,6,5,7.9,tt0094517,199,0.507537688442211,Mystery Science Theater 3000,0
105,6,9,8.5,tt0094517,199,0.5276381909547738,Mystery Science Theater 3000,0
109,6,13,8.3,tt0094517,199,0.5477386934673367,Mystery Science Theater 3000,0
113,6,17,7.8,tt0094517,199,0.5678391959798995,Mystery Science Theater 3000,0
117,6,21,8.5,tt0094517,199,0.5879396984924623,Mystery Science Theater 3000,0
121,7,1,7.4,tt0094517,199,0.6080402010050251,Mystery Science Theater 3000,0
125,7,5,7.2,tt0094517,199,0.628140703517588,Mystery Science Theater 3000,0
129,7,9,7.5,tt0094517,199,0.6482412060301508,Mystery Science Theater 3000,0
133,7,13,7.7,tt0094517,199,0.6683417085427136,Mystery Science Theater 3000,0
136,7,16,7.1,tt0094517,199,0.6834170854271356,Mystery Science Theater 3000,0
140,7,20,7.8,tt0094517,199,0.7035175879396985,Mystery Science Theater 3000,0
144,7,24,7.4,tt0094517,199,0.7236180904522613,Mystery Science Theater 3000,0
148,8,4,7.6,tt0094517,199,0.7437185929648241,Mystery Science Theater 3000,0
152,9,1,7.5,tt0094517,199,0.7638190954773869,Mystery Science Theater 3000,0
156,9,5,7.2,tt0094517,199,0.7839195979899497,Mystery Science Theater 3000,0
160,9,9,7.2,tt0094517,199,0.8040201005025126,Mystery Science Theater 3000,0
164,9,13,7.6,tt0094517,199,0.8241206030150754,Mystery Science Theater 3000,0
167,9,16,8.0,tt0094517,199,0.8391959798994975,Mystery Science Theater 3000,0
171,9,20,8.7,tt0094517,199,0.8592964824120602,Mystery Science Theater 3000,0
175,10,2,7.4,tt0094517,199,0.8793969849246231,Mystery Science Theater 3000,0
179,10,6,6.2,tt0094517,199,0.8994974874371859,Mystery Science Theater 3000,0
183,10,10,8.6,tt0094517,199,0.9195979899497487,Mystery Science Theater 3000,0
187,11,1,8.0,tt0094517,199,0.9396984924623115,Mystery Science Theater 3000,0
191,11,5,7.7,tt0094517,199,0.9597989949748744,Mystery Science Theater 3000,0
195,11,9,6.1,tt0094517,199,0.9798994974874372,Mystery Science Theater 3000,0
2,1,2,7.6,tt0094525,70,0.02857142857142857,Poirot,0
3,1,3,7.0,tt0094525,70,0.04285714285714286,Poirot,0
5,1,5,7.7,tt0094525,70,0.07142857142857142,Poirot,0
6,1,6,7.4,tt0094525,70,0.08571428571428572,Poirot,0
7,1,7,7.4,tt0094525,70,0.1,Poirot,0
9,1,9,7.2,tt0094525,70,0.12857142857142856,Poirot,0
10,1,10,7.8,tt0094525,70,0.14285714285714285,Poirot,0
11,2,1,8.1,tt0094525,70,0.15714285714285714,Poirot,0
13,2,3,7.4,tt0094525,70,0.18571428571428572,Poirot,0
14,2,4,7.7,tt0094525,70,0.2,Poirot,0
15,2,5,8.0,tt0094525,70,0.21428571428571427,Poirot,0
17,2,7,7.5,tt0094525,70,0.24285714285714285,Poirot,0
18,2,8,7.6,tt0094525,70,0.2571428571428571,Poirot,0
19,2,9,7.4,tt0094525,70,0.2714285714285714,Poirot,0
21,3,2,7.8,tt0094525,70,0.3,Poirot,0
22,3,3,7.7,tt0094525,70,0.3142857142857143,Poirot,0
